Date,Price
11/20/2019,68.8666
11/21/2019,72.5841
11/22/2019,84.6262
11/23/2019,75.2213
11/24/2019,74.818
11/25/2019,80.6981
11/26/2019,79.8204
11/27/2019,80.7676
11/28/2019,76.4707
11/29/2019,70.1412
11/30/2019,69.1923
12/1/2019,70.5229
12/2/2019,69.4354
12/3/2019,69.1338
12/4/2019,69.4921
12/5/2019,68.8933
12/6/2019,65.2789
12/7/2019,64.9816
12/8/2019,65.8467
12/9/2019,66.0376
12/10/2019,65.9139
12/11/2019,65.779
12/12/2019,66.1663
12/13/2019,64.0304
12/14/2019,63.5696
12/15/2019,63.8114
12/16/2019,64.7275
12/17/2019,67.9008
12/18/2019,67.836
12/19/2019,67.4028
12/20/2019,65.3991
12/21/2019,64.3536
12/22/2019,62.2207
12/23/2019,61.8072
12/24/2019,61.3226
12/25/2019,61.6905
12/26/2019,63.5174
12/27/2019,60.5325
12/28/2019,60.0724
12/29/2019,59.3182
12/30/2019,60.5669
12/31/2019,61.8298
1/1/2020,62.4188
1/2/2020,62.8506
1/3/2020,62.504
1/4/2020,62.0487
1/5/2020,62.056
1/6/2020,62.7503
1/7/2020,67.2334
1/8/2020,70.0987
1/9/2020,66.9832
1/10/2020,64.4906
1/11/2020,64.4013
1/12/2020,65.0093
1/13/2020,64.3193
1/14/2020,66.8584
1/15/2020,68.1948
1/16/2020,67.7446
1/17/2020,66.8271
1/18/2020,67.226
1/19/2020,67.6446
1/20/2020,64.639
1/21/2020,62.8346
1/22/2020,63.0977
1/23/2020,60.7872
1/24/2020,61.2361
1/25/2020,60.4779
1/26/2020,61.476
1/27/2020,62.5621
1/28/2020,63.8849
1/29/2020,63.9409
1/30/2020,65.0326
1/31/2020,63.8517
2/1/2020,61.7137
2/2/2020,62.3783
2/3/2020,63.138
2/4/2020,63.6511
2/5/2020,65.3523
2/6/2020,66.2781
2/7/2020,66.9142
2/8/2020,66.2971
2/9/2020,66.812
2/10/2020,66.4205
2/11/2020,65.4049
2/12/2020,67.4959
2/13/2020,68.4964
2/14/2020,68.2856
2/15/2020,69.4022
2/16/2020,69.9099
2/17/2020,70.2002
2/18/2020,70.0147
2/19/2020,70.0077
2/20/2020,70.8954
2/21/2020,68.8517
2/22/2020,66.1439
