DATE,final_score
2019-12-10,-5.763053202068804
2019-12-11,-15.428977170109746
2019-12-12,-5.390665793359275
2019-12-13,-22.236082300758355
2019-12-16,-48.54535173118114
2019-12-17,-18.237578072357167
2019-12-19,-45.95283843114376
2019-12-20,-18.18844371080398
2019-12-22,-29.579268424916265
2019-12-23,-77.43501488008499
2019-12-24,-20.84520611157417
2019-12-25,-52.712864126324654
2019-12-26,-50.23310525665283
2019-12-27,-55.63237387299538
2019-12-28,-42.46735833587646
2019-12-30,-25.347587198770057
2019-12-31,-52.309435882008074
2020-01-01,-45.81435955421925
2020-01-02,0.6724405516624472
2020-01-03,-57.7428664059639
2020-01-05,-33.72005185985566
2020-01-06,-7.849081315326686
2020-01-07,-43.374024064254755
2020-01-08,-10.246165039741996
2020-01-09,-28.645959925460815
2020-01-10,-24.196648187899584
2020-01-11,-26.92039395524263
2020-01-12,-55.044464332538844
2020-01-13,-25.47251470340491
2020-01-14,-14.968511768150321
2020-01-15,-26.272196286201478
2020-01-16,-17.179402236247057
2020-01-17,-8.67996987053155
2020-01-18,-51.510731275677685
2020-01-19,-32.559403681313995
2020-01-20,-18.869263253688814
2020-01-21,-27.700894031429286
2020-01-22,-28.790869210231307
2020-01-23,-22.73618450012208
2020-01-24,-34.921124137139316
2020-01-25,-28.008765766012672
2020-01-27,-28.821751333475106
2020-01-28,-31.104329514658446
2020-01-29,-7.724502975738048
2020-01-30,-25.021381660962106
2020-01-31,-19.142836346328252
2020-02-01,-42.280423834520576
2020-02-02,-35.167743914783
2020-02-03,-35.73475828766823
2020-02-04,-19.505147171092034
2020-02-05,-37.543372998714446
2020-02-06,-8.636951721549039
2020-02-07,-35.414246181476116
2020-02-08,-20.855203518700606
2020-02-09,-32.637509977817544
2020-02-10,2.792019462943088
2020-02-11,-9.177992303001886
2020-02-12,-29.60507637534141
2020-02-13,-24.33393156328202
2020-02-14,-42.66468957028389
2020-02-15,0.16649155120848036
2020-02-16,-36.854696847945455
2020-02-17,-5.279847368431092
2020-02-18,-25.546073785936827
2020-02-19,-24.881849597084525
2020-02-20,-24.80023087480069
2020-02-21,-14.028434608292585
2020-02-22,-21.527046812808507
2020-02-23,-30.331186087989806
2020-02-24,-30.936183740997308
2020-02-25,-25.79069673273564
2020-02-26,-12.302722947454455
2020-02-27,-19.74323319381476
2020-02-28,-3.1881812597751633
2020-03-02,-22.348917288923275
2020-03-03,-24.017141717839237
2020-03-04,-49.50774949073791
2020-03-06,-40.3421874468565
2020-03-07,-28.66268463462592
2020-03-08,-87.98490593490303
2020-03-09,-30.737064508867263
2020-03-10,-18.023703441023827
2020-03-11,-2.931040909016133
2020-03-12,-22.1424531996131
2020-03-13,19.46265282829404
2020-03-14,-1.315540728187571
2020-03-15,65.27739221249817
2020-03-16,100.0
2020-03-17,96.81585600336791
2020-03-18,47.11089460945129
2020-03-19,54.372654112219806
2020-03-20,70.67373676555155
2020-03-21,59.52245100235939
2020-03-22,75.67604886239766
2020-03-23,61.894036743760125
2020-03-24,29.50468887984752
2020-03-25,86.04098985397815
2020-03-26,75.6511323137045
2020-03-27,26.91594242739677
2020-03-28,27.918694661366942
2020-03-29,52.360237855136376
2020-03-30,47.21047223558426
2020-03-31,-11.785508510655177
2020-04-01,58.80089465459585
2020-04-02,33.2523649131179
2020-04-03,20.908125054836262
2020-04-04,27.446222198724755
2020-04-05,1.9298957288265228
2020-04-06,7.947497092485435
2020-04-07,14.433528047895436
2020-04-08,31.4622305553913
2020-04-09,4.162403302299978
2020-04-10,2.3302938921630414
2020-04-11,1.9754950572013854
2020-04-12,12.247573517894736
2020-04-13,33.28927116041183
2020-04-14,2.1233883384823855
2020-04-15,14.903214724206919
2020-04-16,8.041715608453742
2020-04-17,10.445864694976805
2020-04-18,-42.46631563148498
2020-04-19,-24.26218470935821
2020-04-20,30.672039819514737
2020-04-21,13.27492548043729
2020-04-22,12.624767902612675
2020-04-23,10.332916818785662
2020-04-24,-3.9613181037902763
2020-04-25,14.771900644063948
2020-04-26,-19.741079342585806
2020-04-27,-23.089932904839515
2020-04-28,34.7807258989811
2020-04-29,-6.593072233438491
2020-04-30,6.81203794026375
2020-05-01,9.590686506927014
2020-05-02,32.6836642364502
2020-05-03,-28.95714080688954
2020-05-04,17.43453302776814
2020-05-05,39.53215420913696
2020-05-06,29.969273427700983
2020-05-07,17.036115052223195
2020-05-08,44.600019399106486
2020-05-09,14.830945594787593
2020-05-10,58.40438092441559
2020-05-11,47.63756060862542
2020-05-12,1.527060982894909
2020-05-13,6.565295793938645
2020-05-14,23.67251995266676
2020-05-15,-1.0055356471061714
2020-05-16,16.766016344547268
2020-05-17,28.79220765867234
2020-05-18,7.126665086901184
2020-05-19,-1.7212655366420648
2020-05-20,7.469255914497381
2020-05-21,9.386417237353328
2020-05-22,-24.560140889120106
2020-05-23,51.177832944393145
2020-05-24,2.059779611766345
2020-05-25,1.4750577949523915
2020-05-26,0.8933611054420538
2020-05-27,-30.242549830436715
2020-05-28,-11.174936612749107
2020-05-29,-26.761278249502183
2020-05-30,-28.702438989955184
2020-05-31,-4.80207756656408
2020-06-01,-9.79138322538138
2020-06-02,-16.990173633050915
2020-06-03,-23.684376870715624
2020-06-04,-12.233856407177441
2020-06-05,-17.852774040031434
2020-06-06,-64.36726506515743
2020-06-07,10.731087882637993
2020-06-08,-16.586500711846355
2020-06-09,-26.374467292040578
2020-06-10,-0.7831121495962066
2020-06-11,-22.26613952999115
2020-06-12,-20.322695989847176
2020-06-13,-18.032578858554373
2020-06-15,-15.460049951171882
